Date,County,Sub_County,Confirmed_Cases,Outbreak,Predicted_Cases,Predicted_Probability,Risk_Level
2021-10-28,NAIROBI,EMBAKASI EAST,0.0,0.0,0.0,6.820774e-06,Baseline
2020-10-10,KISUMU,KISUMU CENTRAL,0.0,0.0,0.0,1.2734342e-05,Baseline
2020-05-23,MIGORI,NYATIKE,0.0,0.0,0.0,2.4075067e-05,Baseline
2021-01-03,MIGORI,NYATIKE,0.0,0.0,0.0,6.54569e-05,Baseline
2021-01-14,NAIROBI,EMBAKASI WEST,0.0,0.0,0.0,3.2993023e-05,Baseline
2025-01-08,KISUMU,NYAKACH,0.0,0.0,0.0,3.6186044e-05,Baseline
2019-08-12,KISUMU,NYAKACH,0.0,0.0,0.0,4.3007567e-05,Baseline
2020-06-01,NAIROBI,EMBAKASI WEST,0.0,0.0,0.0,1.4356194e-05,Baseline
2019-08-04,KISUMU,NYAKACH,0.0,0.0,0.0,1.3294022e-05,Baseline
2025-10-28,NAIROBI,KASARANI,0.0,0.0,0.0,1.1748007e-05,Baseline
2018-08-05,NAIROBI,EMBAKASI EAST,0.0,0.0,0.0,1.3851274e-05,Baseline
2021-12-26,MIGORI,URIRI,0.0,0.0,0.0,1.115309e-05,Baseline
2018-11-23,NAIROBI,EMBAKASI SOUTH,0.0,0.0,0.0,8.17611e-06,Baseline
2019-06-11,MIGORI,SUNA WEST,0.0,0.0,0.0,6.017406e-06,Baseline
2022-06-08,MIGORI,SUNA WEST,0.0,0.0,0.0,3.309405e-05,Baseline
2019-09-03,KISUMU,KISUMU CENTRAL,0.0,0.0,0.0,2.839574e-05,Baseline
2022-03-19,NAIROBI,EMBAKASI EAST,0.0,0.0,0.0,8.532737e-06,Baseline
2022-10-05,NAIROBI,EMBAKASI SOUTH,0.0,0.0,0.0,9.4447005e-06,Baseline
2024-04-25,MIGORI,NYATIKE,0.0,0.0,0.0,4.1337604e-05,Baseline
2018-05-12,MIGORI,SUNA WEST,0.0,0.0,0.0,9.2085465e-06,Baseline
2020-10-10,NAIROBI,EMBAKASI WEST,0.0,0.0,0.0,1.21160465e-05,Baseline
2022-12-16,NAIROBI,EMBAKASI WEST,0.0,0.0,0.0,9.141191e-06,Baseline
2023-01-10,MIGORI,SUNA WEST,0.0,0.0,0.0,2.7805638e-05,Baseline
2023-01-28,MIGORI,SUNA WEST,0.0,0.0,0.0,8.532737e-06,Baseline
2021-07-08,KISUMU,KISUMU CENTRAL,0.0,0.0,0.0,5.2973188e-05,Baseline
2025-02-13,NAIROBI,EMBAKASI WEST,0.0,0.0,0.0,9.164217e-06,Baseline
